Reporting period,ORGANIZATION,DONOR,CLUSTER,ACTIVITY DESCRIPTION,IMPLEMENTING PARTNER,REGION,DISTRICT                           ,SPECIFIC LOCATION ,RURAL/URBAN         ,STATUS             ,DURATION,START DATE (DD/MM/YY),END DATE (DD/MM/YY),Y_COORD,X_COORD
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Banadir ,Waaberi,Mogadishu/Waaberi,,Completed,,01/12/2018,31/12/2018,2.019514,45.31
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Banadir ,Hamar Weyne,Mogadishu/Xamar Weyne,,Completed,,01/12/2018,31/12/2018,2.033731,45.34
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Banadir ,Bondhere,Mogadishu/Boondheere,,Completed,,01/12/2018,31/12/2018,2.04555,45.34
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Banadir ,Bondhere,Mogadishu/Boondheere,,Completed,,01/12/2018,31/12/2018,2.04555,45.34
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Banadir ,Karaan,Mogadishu/Karaan,,Completed,,01/12/2018,31/12/2018,2.06516,45.39
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Banadir ,Yaaqshid,Mogadishu/Yaaqshiid,,Completed,,01/12/2018,31/12/2018,2.067771,45.35
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Banadir ,Yaaqshid,Mogadishu/Yaaqshiid,,Completed,,01/12/2018,31/12/2018,2.067771,45.35
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Banadir ,Yaaqshid,Mogadishu/Yaaqshiid,,Completed,,01/12/2018,31/12/2018,2.067771,45.35
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Banadir ,Wadajir,Mogadishu,,Completed,,01/12/2018,31/12/2018,1.86139,44.79644
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Banadir ,Wadajir,Mogadishu,,Completed,,01/12/2018,31/12/2018,1.86139,44.79644
Quarter III,CISP,EU,Education,Emergency Teacher Incentives,CISP,Banadir ,Cabdulasiis,Mogadishu/Cabdulcasiis,,Completed,,01/12/2018,31/12/2018,2.04045,45.36
Quarter III,CISP,EU,Education,Emergency Teacher Incentives,CISP,Banadir ,Bondhere,Mogadishu/Boondheere,,Completed,,01/12/2018,31/12/2018,2.04555,45.34
Quarter III,CISP,EU,Education,Emergency Teacher Incentives,CISP,Banadir ,Waaberi,Mogadishu/Waaberi,,Completed,,01/12/2018,31/12/2018,2.019514,45.31
Quarter III,CISP,EU,Education,Emergency Teacher Incentives,CISP,Banadir ,Hawl Wadaag,Mogadishu/Hawl Wadaag,,Completed,,01/12/2018,31/12/2018,2.048031,45.32
Quarter III,CISP,EU,Education,Emergency Teacher Incentives,CISP,Banadir ,Cabdulasiis,Mogadishu/Cabdulcasiis,,Completed,,01/12/2018,31/12/2018,2.04045,45.36
Quarter III,CISP,EU,Education,Other- please specify,CISP,Banadir ,Bondhere,Mogadishu/Boondheere,,Completed,,01/12/2018,31/12/2018,2.04555,45.34
Quarter III,CISP,EU,Education,Other- please specify,CISP,Banadir ,Waaberi,Mogadishu/Waaberi,,Completed,,01/12/2018,31/12/2018,2.019514,45.31
Quarter III,CISP,EU,Education,Other- please specify,CISP,Banadir ,Hawl Wadaag,Mogadishu/Hawl Wadaag,,Completed,,01/12/2018,31/12/2018,2.048031,45.32
Quarter III,CISP,EU,Education,Other- please specify,CISP,Banadir ,Cabdulasiis,Mogadishu/Cabdulcasiis,,Completed,,01/12/2018,31/12/2018,2.04045,45.36
Quarter III,CISP,EU,Education,Emergency Teacher Incentives,CISP,Banadir ,Karaan,Mogadishu/Karaan,,Completed,,01/12/2018,31/12/2018,2.06516,45.39
Quarter III,CISP,EU,Education,Other- please specify,CISP,Banadir ,Karaan,Mogadishu/Karaan,,Completed,,01/12/2018,31/12/2018,2.06516,45.39
Quarter III,CISP,EU,Education,Other- please specify,CISP,Banadir ,Karaan,Mogadishu/Karaan,,Completed,,01/12/2018,31/12/2018,2.06516,45.39
Quarter III,CISP,EU,Education,Other- please specify,CISP,Banadir ,Karaan,Mogadishu/Karaan,,Completed,,01/12/2018,31/12/2018,2.06516,45.39
Quarter III,CISP,EU,Education,Other- please specify,CISP,Banadir ,Karaan,Mogadishu/Karaan,,Completed,,01/12/2018,31/12/2018,2.06516,45.39
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,01/12/2018,31/12/2018,5.5282,46.570713
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,01/12/2018,31/12/2018,5.5282,46.570713
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Galgaduud,Cabudwaaq,Xanan Buro,,Completed,,01/12/2018,31/12/2018,5.867307,46.205765
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,01/12/2018,31/12/2018,5.28062,47.5701
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,01/12/2018,31/12/2018,5.28062,47.5701
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,01/12/2018,31/12/2018,5.28062,47.5701
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,01/12/2018,31/12/2018,5.28062,47.5701
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Hiraan,Belet Weyne,Matabaan,,Completed,,01/12/2018,31/12/2018,5.19938,45.52517
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Hiraan,Belet Weyne,Matabaan,,Completed,,01/12/2018,31/12/2018,5.19938,45.52517
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,01/12/2018,31/12/2018,5.5282,46.570713
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,01/12/2018,31/12/2018,5.28062,47.5701
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Hiraan,Belet Weyne,Matabaan,,Completed,,01/12/2018,31/12/2018,5.19938,45.52517
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,01/12/2018,31/12/2018,5.28062,47.5701
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,01/12/2018,31/12/2018,5.5282,46.570713
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,01/12/2018,31/12/2018,5.5282,46.570713
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Galgaduud,Cabudwaaq,Xanan Buro,,Completed,,01/12/2018,31/12/2018,5.867307,46.205765
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,01/12/2018,31/12/2018,5.28062,47.5701
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,01/12/2018,31/12/2018,5.28062,47.5701
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,01/12/2018,31/12/2018,5.28062,47.5701
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,01/12/2018,31/12/2018,5.28062,47.5701
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Hiraan,Belet Weyne,Matabaan,,Completed,,01/12/2018,31/12/2018,5.19938,45.52517
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Hiraan,Belet Weyne,Matabaan,,Completed,,01/12/2018,31/12/2018,5.19938,45.52517
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,01/12/2018,31/12/2018,5.5282,46.570713
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,01/12/2018,31/12/2018,5.28062,47.5701
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Hiraan,Belet Weyne,Matabaan,,Completed,,01/12/2018,31/12/2018,5.19938,45.52517
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,01/12/2018,31/12/2018,5.28062,47.5701
Quarter III,CISP,DFID,Education,Provision of Food/Food Grant,CISP,Galgaduud,Cabudwaaq,Xanan Buro,,Completed,,01/12/2018,31/12/2018,5.867307,46.205765
Quarter III,CISP,DFID,Education,Provision of Food/Food Grant,CISP,Hiraan,Belet Weyne,Matabaan,,Completed,,01/12/2018,31/12/2018,5.19938,45.52517
Quarter III,CISP,DFID,Education,Provision of Food/Food Grant,CISP,Hiraan,Belet Weyne,Matabaan,,Completed,,01/12/2018,31/12/2018,5.19938,45.52517
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,01/12/2018,31/12/2018,5.5282,46.570713
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,01/12/2018,31/12/2018,5.5282,46.570713
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,01/12/2018,31/12/2018,5.28062,47.5701
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,01/12/2018,31/12/2018,5.28062,47.5701
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,01/12/2018,31/12/2018,5.28062,47.5701
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,01/12/2018,31/12/2018,5.28062,47.5701
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Hiraan,Belet Weyne,Matabaan,,Completed,,01/12/2018,31/12/2018,5.19938,45.52517
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Hiraan,Belet Weyne,Matabaan,,Completed,,01/12/2018,31/12/2018,5.19938,45.52517
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,01/12/2018,31/12/2018,5.5282,46.570713
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,01/12/2018,31/12/2018,5.28062,47.5701
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Hiraan,Belet Weyne,Matabaan,,Completed,,01/12/2018,31/12/2018,5.19938,45.52517
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,01/12/2018,31/12/2018,5.28062,47.5701
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,EU,Education,Other- please specify,CISP,Mudug,Gaalkacyo,gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,EU,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,EU,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,EU,Education,Other- please specify,CISP,Galgaduud,Cabudwaaq,Abutwaq,,Completed,,01/12/2018,31/12/2018,2.87266,43.88767
Quarter III,CISP,EU,Education,Emergency Teacher Incentives,CISP,Mudug,Hobyo,Hobyo,,Completed,,01/12/2018,31/12/2018,6.084725,48.390268
Quarter III,CISP,EU,Education,Emergency Teacher Incentives,CISP,Mudug,Hobyo,Bacadwayn,,Completed,,01/12/2018,31/12/2018,5.3506,47.921101
Quarter III,CISP,EU,Education,Emergency Teacher Incentives,CISP,Galgaduud,Cabudwaaq,aButwaq,,Completed,,01/12/2018,31/12/2018,2.87266,43.88767
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Provision of Food/Food Grant,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Provision of Food/Food Grant,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Provision of Food/Food Grant,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Provision of Food/Food Grant,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Provision of Food/Food Grant,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Provision of Food/Food Grant,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Provision of Food/Food Grant,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Provision of Food/Food Grant,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Provision of Food/Food Grant,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Provision of Food/Food Grant,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Provision of Food/Food Grant,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,EU,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,EU,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,EU,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,EU,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,EU,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,EU,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,EU,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,EU,Education,Other- please specify,CISP,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,01/12/2018,31/12/2018,6.651578,47.22737
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Banadir ,Wadajir,Wadajir,,Completed,,01/01/2019,31/01/2019,2.34928,42.27665
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Banadir ,Wadajir,Wadajir,,Completed,,01/01/2019,31/01/2019,2.34928,42.27665
Quarter III,CISP,DFID,Education,Emergency Teacher Incentives,CISP,Banadir ,Wadajir,Wadajir,,Completed,,01/01/2019,31/01/2019,2.34928,42.27665
